Sample_Number,Timestamp,Value,Subgroup_Position,BatchID,Pattern
1,2024-01-01 08:00:00,100.9934,1,BATCH_001,Normal
2,2024-01-01 09:00:00,99.7235,2,BATCH_001,Normal
3,2024-01-01 10:00:00,101.2954,3,BATCH_001,Normal
4,2024-01-01 11:00:00,103.0461,4,BATCH_001,Normal
5,2024-01-01 12:00:00,99.5317,5,BATCH_001,Normal
6,2024-01-01 13:00:00,99.5317,1,BATCH_001,Normal
7,2024-01-01 14:00:00,103.1584,2,BATCH_001,Normal
8,2024-01-01 15:00:00,101.5349,3,BATCH_001,Normal
9,2024-01-01 16:00:00,99.0611,4,BATCH_001,Normal
10,2024-01-01 17:00:00,101.0851,5,BATCH_001,Normal
11,2024-01-01 18:00:00,99.0732,1,BATCH_001,Normal
12,2024-01-01 19:00:00,99.0685,2,BATCH_001,Normal
13,2024-01-01 20:00:00,100.4839,3,BATCH_001,Normal
14,2024-01-01 21:00:00,96.1734,4,BATCH_001,Normal
15,2024-01-01 22:00:00,96.5502,5,BATCH_001,Normal
16,2024-01-01 23:00:00,98.8754,1,BATCH_001,Normal
17,2024-01-02 00:00:00,97.9743,2,BATCH_001,Normal
18,2024-01-02 01:00:00,100.6285,3,BATCH_001,Normal
19,2024-01-02 02:00:00,98.184,4,BATCH_001,Normal
20,2024-01-02 03:00:00,97.1754,5,BATCH_001,Normal
21,2024-01-02 04:00:00,102.9313,1,BATCH_001,Normal
22,2024-01-02 05:00:00,99.5484,2,BATCH_001,Normal
23,2024-01-02 06:00:00,100.1351,3,BATCH_001,Normal
24,2024-01-02 07:00:00,97.1505,4,BATCH_001,Normal
25,2024-01-02 08:00:00,98.9112,5,BATCH_001,Normal
26,2024-01-02 09:00:00,100.2218,1,BATCH_001,Normal
27,2024-01-02 10:00:00,97.698,2,BATCH_001,Normal
28,2024-01-02 11:00:00,100.7514,3,BATCH_001,Normal
29,2024-01-02 12:00:00,98.7987,4,BATCH_001,Normal
30,2024-01-02 13:00:00,99.4166,5,BATCH_001,Normal
31,2024-01-02 14:00:00,98.7966,1,BATCH_001,Normal
32,2024-01-02 15:00:00,103.7046,2,BATCH_001,Normal
33,2024-01-02 16:00:00,99.973,3,BATCH_001,Normal
34,2024-01-02 17:00:00,97.8846,4,BATCH_001,Normal
35,2024-01-02 18:00:00,101.6451,5,BATCH_001,Normal
36,2024-01-02 19:00:00,97.5583,1,BATCH_001,Normal
37,2024-01-02 20:00:00,100.4177,2,BATCH_001,Normal
38,2024-01-02 21:00:00,96.0807,3,BATCH_001,Normal
39,2024-01-02 22:00:00,97.3436,4,BATCH_001,Normal
40,2024-01-02 23:00:00,100.3937,5,BATCH_001,Normal
41,2024-01-03 00:00:00,101.4769,1,BATCH_001,Normal
42,2024-01-03 01:00:00,100.3427,2,BATCH_001,Normal
43,2024-01-03 02:00:00,99.7687,3,BATCH_001,Normal
44,2024-01-03 03:00:00,99.3978,4,BATCH_001,Normal
45,2024-01-03 04:00:00,97.043,5,BATCH_001,Normal
46,2024-01-03 05:00:00,98.5603,1,BATCH_001,Normal
47,2024-01-03 06:00:00,99.0787,2,BATCH_001,Normal
48,2024-01-03 07:00:00,102.1142,3,BATCH_001,Normal
49,2024-01-03 08:00:00,100.6872,4,BATCH_001,Normal
50,2024-01-03 09:00:00,96.4739,5,BATCH_001,Normal
51,2024-01-03 10:00:00,100.6482,1,BATCH_002,Normal
52,2024-01-03 11:00:00,99.2298,2,BATCH_002,Normal
53,2024-01-03 12:00:00,98.6462,3,BATCH_002,Normal
54,2024-01-03 13:00:00,101.2234,4,BATCH_002,Normal
55,2024-01-03 14:00:00,102.062,5,BATCH_002,Normal
56,2024-01-03 15:00:00,101.8626,1,BATCH_002,Normal
57,2024-01-03 16:00:00,98.3216,2,BATCH_002,Normal
58,2024-01-03 17:00:00,99.3816,3,BATCH_002,Normal
59,2024-01-03 18:00:00,100.6625,4,BATCH_002,Normal
60,2024-01-03 19:00:00,101.9511,5,BATCH_002,Normal
61,2024-01-03 20:00:00,99.0417,1,BATCH_002,Normal
62,2024-01-03 21:00:00,99.6287,2,BATCH_002,Normal
63,2024-01-03 22:00:00,97.7873,3,BATCH_002,Normal
64,2024-01-03 23:00:00,97.6076,4,BATCH_002,Normal
65,2024-01-04 00:00:00,101.6251,5,BATCH_002,Normal
66,2024-01-04 01:00:00,102.7125,1,BATCH_002,Normal
67,2024-01-04 02:00:00,99.856,2,BATCH_002,Normal
68,2024-01-04 03:00:00,102.0071,3,BATCH_002,Normal
69,2024-01-04 04:00:00,100.7233,4,BATCH_002,Normal
70,2024-01-04 05:00:00,98.7098,5,BATCH_002,Normal
71,2024-01-04 06:00:00,100.7228,1,BATCH_002,Normal
72,2024-01-04 07:00:00,103.0761,2,BATCH_002,Normal
73,2024-01-04 08:00:00,99.9283,3,BATCH_002,Normal
74,2024-01-04 09:00:00,103.1293,4,BATCH_002,Normal
75,2024-01-04 10:00:00,94.7605,5,BATCH_002,Normal
76,2024-01-04 11:00:00,101.6438,1,BATCH_002,Normal
77,2024-01-04 12:00:00,100.1741,2,BATCH_002,Normal
78,2024-01-04 13:00:00,99.402,3,BATCH_002,Normal
79,2024-01-04 14:00:00,100.1835,4,BATCH_002,Normal
80,2024-01-04 15:00:00,96.0249,5,BATCH_002,Normal
81,2024-01-04 16:00:00,99.5607,1,BATCH_002,Normal
82,2024-01-04 17:00:00,100.7142,2,BATCH_002,Normal
83,2024-01-04 18:00:00,102.9558,3,BATCH_002,Normal
84,2024-01-04 19:00:00,98.9635,4,BATCH_002,Normal
85,2024-01-04 20:00:00,98.383,5,BATCH_002,Normal
86,2024-01-04 21:00:00,98.9965,1,BATCH_002,Normal
87,2024-01-04 22:00:00,101.8308,2,BATCH_002,Normal
88,2024-01-04 23:00:00,100.6575,3,BATCH_002,Normal
89,2024-01-05 00:00:00,98.9405,4,BATCH_002,Normal
90,2024-01-05 01:00:00,101.0265,5,BATCH_002,Normal
91,2024-01-05 02:00:00,100.1942,1,BATCH_002,Normal
92,2024-01-05 03:00:00,101.9373,2,BATCH_002,Normal
93,2024-01-05 04:00:00,98.5959,3,BATCH_002,Normal
94,2024-01-05 05:00:00,99.3447,4,BATCH_002,Normal
95,2024-01-05 06:00:00,99.2158,5,BATCH_002,Normal
96,2024-01-05 07:00:00,97.073,1,BATCH_002,Normal
97,2024-01-05 08:00:00,100.5922,2,BATCH_002,Normal
98,2024-01-05 09:00:00,100.5221,3,BATCH_002,Normal
99,2024-01-05 10:00:00,100.0102,4,BATCH_002,Normal
100,2024-01-05 11:00:00,99.5308,5,BATCH_002,Normal
101,2024-01-05 12:00:00,96.8862,1,BATCH_003,Trend_Up
102,2024-01-05 13:00:00,99.1246,2,BATCH_003,Trend_Up
103,2024-01-05 14:00:00,99.346,3,BATCH_003,Trend_Up
104,2024-01-05 15:00:00,98.385,4,BATCH_003,Trend_Up
105,2024-01-05 16:00:00,99.8452,5,BATCH_003,Trend_Up
106,2024-01-05 17:00:00,101.1389,1,BATCH_003,Trend_Up
107,2024-01-05 18:00:00,104.4496,2,BATCH_003,Trend_Up
108,2024-01-05 19:00:00,100.7341,3,BATCH_003,Trend_Up
109,2024-01-05 20:00:00,100.9666,4,BATCH_003,Trend_Up
110,2024-01-05 21:00:00,100.2862,5,BATCH_003,Trend_Up
111,2024-01-05 22:00:00,96.2787,1,BATCH_003,Trend_Up
112,2024-01-05 23:00:00,100.4917,2,BATCH_003,Trend_Up
113,2024-01-06 00:00:00,100.7325,3,BATCH_003,Trend_Up
114,2024-01-06 01:00:00,106.0691,4,BATCH_003,Trend_Up
115,2024-01-06 02:00:00,100.2768,5,BATCH_003,Trend_Up
116,2024-01-06 03:00:00,101.4134,1,BATCH_003,Trend_Up
117,2024-01-06 04:00:00,100.7236,2,BATCH_003,Trend_Up
118,2024-01-06 05:00:00,98.2789,3,BATCH_003,Trend_Up
119,2024-01-06 06:00:00,103.4142,4,BATCH_003,Trend_Up
120,2024-01-06 07:00:00,102.6043,5,BATCH_003,Trend_Up
121,2024-01-06 08:00:00,102.7403,1,BATCH_003,Trend_Up
122,2024-01-06 09:00:00,99.0493,2,BATCH_003,Trend_Up
123,2024-01-06 10:00:00,104.1861,3,BATCH_003,Trend_Up
124,2024-01-06 11:00:00,98.0659,4,BATCH_003,Trend_Up
125,2024-01-06 12:00:00,102.4911,5,BATCH_003,Trend_Up
126,2024-01-06 13:00:00,106.069,1,BATCH_003,Trend_Up
127,2024-01-06 14:00:00,99.1208,2,BATCH_003,Trend_Up
128,2024-01-06 15:00:00,100.1041,3,BATCH_003,Trend_Up
129,2024-01-06 16:00:00,101.6192,4,BATCH_003,Trend_Up
130,2024-01-06 17:00:00,100.3424,5,BATCH_003,Trend_Up
131,2024-01-06 18:00:00,98.0885,1,BATCH_003,Trend_Up
132,2024-01-06 19:00:00,101.7008,2,BATCH_003,Trend_Up
133,2024-01-06 20:00:00,99.2629,3,BATCH_003,Trend_Up
134,2024-01-06 21:00:00,102.6919,4,BATCH_003,Trend_Up
135,2024-01-06 22:00:00,99.6773,5,BATCH_003,Trend_Up
136,2024-01-06 23:00:00,105.1599,1,BATCH_003,Trend_Up
137,2024-01-07 00:00:00,100.0768,2,BATCH_003,Trend_Up
138,2024-01-07 01:00:00,101.1415,3,BATCH_003,Trend_Up
139,2024-01-07 02:00:00,103.6897,4,BATCH_003,Trend_Up
140,2024-01-07 03:00:00,99.2421,5,BATCH_003,Trend_Up
141,2024-01-07 04:00:00,102.5004,1,BATCH_003,Trend_Up
142,2024-01-07 05:00:00,104.9257,2,BATCH_003,Trend_Up
143,2024-01-07 06:00:00,98.5635,3,BATCH_003,Trend_Up
144,2024-01-07 07:00:00,102.5562,4,BATCH_003,Trend_Up
145,2024-01-07 08:00:00,102.7717,5,BATCH_003,Trend_Up
146,2024-01-07 09:00:00,103.97,1,BATCH_003,Trend_Up
147,2024-01-07 10:00:00,99.5787,2,BATCH_003,Trend_Up
148,2024-01-07 11:00:00,99.445,3,BATCH_003,Trend_Up
149,2024-01-07 12:00:00,103.5483,4,BATCH_003,Trend_Up
150,2024-01-07 13:00:00,103.1034,5,BATCH_003,Trend_Up
151,2024-01-07 14:00:00,103.0511,1,BATCH_004,Trend_Up
152,2024-01-07 15:00:00,103.3122,2,BATCH_004,Trend_Up
153,2024-01-07 16:00:00,101.1039,3,BATCH_004,Trend_Up
154,2024-01-07 17:00:00,103.161,4,BATCH_004,Trend_Up
155,2024-01-07 18:00:00,103.3448,5,BATCH_004,Trend_Up
156,2024-01-07 19:00:00,101.1784,1,BATCH_004,Trend_Up
157,2024-01-07 20:00:00,106.9047,2,BATCH_004,Trend_Up
158,2024-01-07 21:00:00,103.8924,3,BATCH_004,Trend_Up
159,2024-01-07 22:00:00,100.2791,4,BATCH_004,Trend_Up
160,2024-01-07 23:00:00,104.3944,5,BATCH_004,Trend_Up
161,2024-01-08 00:00:00,100.8557,1,BATCH_004,Trend_Up
162,2024-01-08 01:00:00,104.7816,2,BATCH_004,Trend_Up
163,2024-01-08 02:00:00,105.6489,3,BATCH_004,Trend_Up
164,2024-01-08 03:00:00,101.3445,4,BATCH_004,Trend_Up
165,2024-01-08 04:00:00,105.3194,5,BATCH_004,Trend_Up
166,2024-01-08 05:00:00,104.1581,1,BATCH_004,Trend_Up
167,2024-01-08 06:00:00,105.1085,2,BATCH_004,Trend_Up
168,2024-01-08 07:00:00,107.5229,3,BATCH_004,Trend_Up
169,2024-01-08 08:00:00,102.8601,4,BATCH_004,Trend_Up
170,2024-01-08 09:00:00,101.7918,5,BATCH_004,Trend_Up
171,2024-01-08 10:00:00,101.5431,1,BATCH_004,Trend_Up
172,2024-01-08 11:00:00,101.7552,2,BATCH_004,Trend_Up
173,2024-01-08 12:00:00,103.4304,3,BATCH_004,Trend_Up
174,2024-01-08 13:00:00,104.4005,4,BATCH_004,Trend_Up
175,2024-01-08 14:00:00,104.3087,5,BATCH_004,Trend_Up
176,2024-01-08 15:00:00,105.5698,1,BATCH_004,Trend_Up
177,2024-01-08 16:00:00,103.8286,2,BATCH_004,Trend_Up
178,2024-01-08 17:00:00,107.0478,3,BATCH_004,Trend_Up
179,2024-01-08 18:00:00,103.3178,4,BATCH_004,Trend_Up
180,2024-01-08 19:00:00,109.9344,5,BATCH_004,Trend_Up
181,2024-01-08 20:00:00,105.3765,1,BATCH_004,Trend_Up
182,2024-01-08 21:00:00,102.1643,2,BATCH_004,Trend_Up
183,2024-01-08 22:00:00,101.744,3,BATCH_004,Trend_Up
184,2024-01-08 23:00:00,105.2114,4,BATCH_004,Trend_Up
185,2024-01-09 00:00:00,103.7084,5,BATCH_004,Trend_Up
186,2024-01-09 01:00:00,105.8208,1,BATCH_004,Trend_Up
187,2024-01-09 02:00:00,105.3411,2,BATCH_004,Trend_Up
188,2024-01-09 03:00:00,104.1898,3,BATCH_004,Trend_Up
189,2024-01-09 04:00:00,102.5371,4,BATCH_004,Trend_Up
190,2024-01-09 05:00:00,101.1173,5,BATCH_004,Trend_Up
191,2024-01-09 06:00:00,103.5177,1,BATCH_004,Trend_Up
192,2024-01-09 07:00:00,106.4341,2,BATCH_004,Trend_Up
193,2024-01-09 08:00:00,105.071,3,BATCH_004,Trend_Up
194,2024-01-09 09:00:00,101.9094,4,BATCH_004,Trend_Up
195,2024-01-09 10:00:00,105.081,5,BATCH_004,Trend_Up
196,2024-01-09 11:00:00,105.5977,1,BATCH_004,Trend_Up
197,2024-01-09 12:00:00,102.8555,2,BATCH_004,Trend_Up
198,2024-01-09 13:00:00,105.1882,3,BATCH_004,Trend_Up
199,2024-01-09 14:00:00,105.0281,4,BATCH_004,Trend_Up
200,2024-01-09 15:00:00,102.4355,5,BATCH_004,Trend_Up
201,2024-01-09 16:00:00,104.7156,1,BATCH_005,Shifted_Up
202,2024-01-09 17:00:00,105.1216,2,BATCH_005,Shifted_Up
203,2024-01-09 18:00:00,106.1661,3,BATCH_005,Shifted_Up
204,2024-01-09 19:00:00,106.1076,4,BATCH_005,Shifted_Up
205,2024-01-09 20:00:00,101.2447,5,BATCH_005,Shifted_Up
206,2024-01-09 21:00:00,102.1243,1,BATCH_005,Shifted_Up
207,2024-01-09 22:00:00,105.0301,2,BATCH_005,Shifted_Up
208,2024-01-09 23:00:00,105.0276,3,BATCH_005,Shifted_Up
209,2024-01-10 00:00:00,105.0301,4,BATCH_005,Shifted_Up
210,2024-01-10 01:00:00,111.7055,5,BATCH_005,Shifted_Up
211,2024-01-10 02:00:00,105.1418,1,BATCH_005,Shifted_Up
212,2024-01-10 03:00:00,106.2711,2,BATCH_005,Shifted_Up
213,2024-01-10 04:00:00,105.908,3,BATCH_005,Shifted_Up
214,2024-01-10 05:00:00,105.3028,4,BATCH_005,Shifted_Up
215,2024-01-10 06:00:00,103.3695,5,BATCH_005,Shifted_Up
216,2024-01-10 07:00:00,105.5179,1,BATCH_005,Shifted_Up
217,2024-01-10 08:00:00,102.4543,2,BATCH_005,Shifted_Up
218,2024-01-10 09:00:00,103.5264,3,BATCH_005,Shifted_Up
219,2024-01-10 10:00:00,103.0293,4,BATCH_005,Shifted_Up
220,2024-01-10 11:00:00,104.1637,5,BATCH_005,Shifted_Up
221,2024-01-10 12:00:00,108.6293,1,BATCH_005,Shifted_Up
