Sample,Reading,DateTime
1,100.8336,2024-01-01 00:00:00
2,102.302,2024-01-01 00:15:00
3,100.3527,2024-01-01 00:30:00
4,100.7535,2024-01-01 00:45:00
5,99.9419,2024-01-01 01:00:00
6,99.5209,2024-01-01 01:15:00
7,99.1315,2024-01-01 01:30:00
8,98.6144,2024-01-01 01:45:00
9,99.0738,2024-01-01 02:00:00
10,98.6038,2024-01-01 02:15:00
11,99.2661,2024-01-01 02:30:00
12,99.441,2024-01-01 02:45:00
13,99.3937,2024-01-01 03:00:00
14,98.7588,2024-01-01 03:15:00
15,98.612,2024-01-01 03:30:00
16,99.7083,2024-01-01 03:45:00
17,100.2466,2024-01-01 04:00:00
18,99.2928,2024-01-01 04:15:00
19,99.5944,2024-01-01 04:30:00
20,100.3923,2024-01-01 04:45:00
21,98.7722,2024-01-01 05:00:00
22,99.6295,2024-01-01 05:15:00
23,99.1443,2024-01-01 05:30:00
24,99.9146,2024-01-01 05:45:00
25,99.2533,2024-01-01 06:00:00
26,97.8529,2024-01-01 06:15:00
27,97.0322,2024-01-01 06:30:00
28,97.9658,2024-01-01 06:45:00
29,98.8098,2024-01-01 07:00:00
30,98.353,2024-01-01 07:15:00
31,99.4218,2024-01-01 07:30:00
32,98.0999,2024-01-01 07:45:00
33,98.6105,2024-01-01 08:00:00
34,97.9374,2024-01-01 08:15:00
35,97.9695,2024-01-01 08:30:00
36,98.6213,2024-01-01 08:45:00
37,98.2606,2024-01-01 09:00:00
38,98.4363,2024-01-01 09:15:00
39,99.8111,2024-01-01 09:30:00
40,99.3485,2024-01-01 09:45:00
41,100.2961,2024-01-01 10:00:00
42,99.1905,2024-01-01 10:15:00
43,99.9102,2024-01-01 10:30:00
44,101.2346,2024-01-01 10:45:00
45,98.6397,2024-01-01 11:00:00
46,98.3306,2024-01-01 11:15:00
47,99.3508,2024-01-01 11:30:00
48,99.3628,2024-01-01 11:45:00
49,99.888,2024-01-01 12:00:00
50,99.378,2024-01-01 12:15:00
51,99.6425,2024-01-01 12:30:00
52,99.6097,2024-01-01 12:45:00
53,100.7778,2024-01-01 13:00:00
54,100.7734,2024-01-01 13:15:00
55,100.8452,2024-01-01 13:30:00
56,100.221,2024-01-01 13:45:00
57,99.7158,2024-01-01 14:00:00
58,99.4118,2024-01-01 14:15:00
59,99.9433,2024-01-01 14:30:00
60,99.5814,2024-01-01 14:45:00
61,99.9678,2024-01-01 15:00:00
62,101.8453,2024-01-01 15:15:00
63,102.0757,2024-01-01 15:30:00
64,101.1596,2024-01-01 15:45:00
65,101.8928,2024-01-01 16:00:00
66,100.9577,2024-01-01 16:15:00
67,98.8361,2024-01-01 16:30:00
68,98.278,2024-01-01 16:45:00
69,97.1109,2024-01-01 17:00:00
70,97.6612,2024-01-01 17:15:00
71,98.3794,2024-01-01 17:30:00
72,100.3744,2024-01-01 17:45:00
73,100.5563,2024-01-01 18:00:00
74,100.1922,2024-01-01 18:15:00
75,100.881,2024-01-01 18:30:00
76,98.6267,2024-01-01 18:45:00
77,99.2507,2024-01-01 19:00:00
78,100.1693,2024-01-01 19:15:00
79,98.7878,2024-01-01 19:30:00
80,100.1808,2024-01-01 19:45:00
81,100.4312,2024-01-01 20:00:00
82,99.9281,2024-01-01 20:15:00
83,100.5192,2024-01-01 20:30:00
84,102.407,2024-01-01 20:45:00
85,101.8486,2024-01-01 21:00:00
86,101.5174,2024-01-01 21:15:00
87,100.6488,2024-01-01 21:30:00
88,99.6893,2024-01-01 21:45:00
89,100.5298,2024-01-01 22:00:00
90,99.6004,2024-01-01 22:15:00
91,99.7847,2024-01-01 22:30:00
92,99.4194,2024-01-01 22:45:00
93,100.0247,2024-01-01 23:00:00
94,100.3176,2024-01-01 23:15:00
95,101.1561,2024-01-01 23:30:00
96,100.3502,2024-01-01 23:45:00
97,100.0023,2024-01-02 00:00:00
98,99.1207,2024-01-02 00:15:00
99,98.9846,2024-01-02 00:30:00
100,99.6288,2024-01-02 00:45:00
101,100.4215,2024-01-02 01:00:00
102,99.4651,2024-01-02 01:15:00
103,100.4082,2024-01-02 01:30:00
104,101.5058,2024-01-02 01:45:00
105,101.4262,2024-01-02 02:00:00
106,102.6874,2024-01-02 02:15:00
107,101.1848,2024-01-02 02:30:00
108,99.7092,2024-01-02 02:45:00
109,98.1956,2024-01-02 03:00:00
110,100.0833,2024-01-02 03:15:00
111,100.6473,2024-01-02 03:30:00
112,100.4031,2024-01-02 03:45:00
113,100.5341,2024-01-02 04:00:00
114,99.3609,2024-01-02 04:15:00
