Obs_Number,Output,TimePoint
1,100.6381,0
2,101.1275,1
3,99.4424,2
4,101.2979,3
5,101.621,4
6,102.3181,5
7,103.2546,6
8,103.3805,7
9,102.2423,8
10,105.272,9
11,103.6825,10
12,105.1507,11
13,107.0642,12
14,104.0707,13
15,102.3811,14
16,104.4693,15
17,105.6251,16
18,106.18,17
19,102.623,18
20,103.9194,19
21,102.4736,20
22,102.3028,21
23,104.485,22
24,99.7405,23
25,100.8804,24
26,100.4677,25
27,100.4591,26
28,98.8545,27
29,98.4674,28
30,97.1996,29
31,97.3302,30
32,96.2341,31
33,96.769,32
34,95.4088,33
35,95.853,34
36,95.2155,35
37,96.2146,36
38,94.9585,37
39,93.2368,38
40,96.3505,39
41,94.339,40
42,94.8221,41
43,95.1827,42
44,97.5219,43
45,94.4416,44
46,100.1988,45
47,98.6473,46
48,98.3826,47
49,98.7017,48
50,99.6589,49
51,100.5211,50
52,101.2719,51
53,101.7991,52
54,101.9302,53
55,102.2114,54
56,102.7877,55
57,103.2278,56
58,104.9863,57
59,104.8152,58
60,101.5837,59
61,105.4112,60
62,105.1062,61
63,104.9714,62
64,104.6016,63
65,106.0355,64
66,105.7028,65
67,103.7513,66
68,104.6287,67
69,102.8809,68
70,102.0431,69
71,102.3122,70
72,103.2712,71
73,102.7937,72
74,101.7565,73
75,101.3518,74
76,100.5162,75
77,98.7319,76
78,99.1885,77
79,98.9598,78
80,98.3455,79
81,98.25,80
82,97.2856,81
83,96.4989,82
84,96.8485,83
85,95.4493,84
86,94.3628,85
87,94.9255,86
88,94.265,87
89,94.3347,88
90,94.944,89
91,94.4523,90
92,95.1679,91
93,93.8847,92
94,96.3607,93
95,96.5785,94
96,96.244,95
97,98.2505,96
98,99.0969,97
99,97.149,98
100,98.6106,99
101,99.2309,100
102,99.6868,101
103,102.0729,102
104,101.6468,103
105,102.1443,104
106,100.9351,105
107,104.0582,106
108,102.6133,107
109,104.2816,108
110,104.8015,109
111,106.1159,110
112,103.6026,111
113,101.9706,112
114,105.174,113
115,106.7119,114
116,105.9942,115
117,104.7338,116
118,103.73,117
119,104.6597,118
120,102.4492,119
121,103.4153,120
122,102.9142,121
123,102.9008,122
124,104.0031,123
125,101.0191,124
126,99.491,125
127,99.3478,126
128,96.9875,127
129,97.4647,128
130,97.1819,129
131,96.537,130
132,96.7296,131
133,95.325,132
134,96.8994,133
135,95.4761,134
136,95.2354,135
137,94.7607,136
138,95.1651,137
139,95.835,138
140,94.2214,139
141,94.5866,140
142,95.1721,141
143,94.4325,142
144,95.3282,143
145,96.101,144
146,97.9355,145
147,97.8538,146
148,98.353,147
149,99.6074,148
150,99.236,149
151,100.3905,150
152,100.5234,151
153,101.5088,152
154,101.2579,153
155,99.97,154
156,102.8046,155
157,104.8455,156
158,104.7788,157
159,105.187,158
160,105.7603,159
161,104.8439,160
162,105.1088,161
163,104.3725,162
164,104.6741,163
165,105.5272,164
166,105.9592,165
167,104.3847,166
168,103.7715,167
169,103.8531,168
170,104.0239,169
171,101.4951,170
172,100.1126,171
173,101.2901,172
174,100.0227,173
175,100.1185,174
176,99.8522,175
177,98.9201,176
178,100.209,177
179,98.4861,178
180,97.8917,179
181,97.6833,180
182,95.4384,181
183,97.1865,182
184,95.7026,183
185,96.1463,184
186,94.1729,185
187,93.5348,186
188,95.8278,187
189,95.3863,188
190,94.1865,189
191,94.3751,190
192,96.6013,191
193,94.5889,192
194,97.7901,193
195,95.6766,194
196,97.6995,195
197,97.2626,196
198,98.7626,197
199,98.2124,198
200,99.2105,199
201,100.0409,200
202,99.6245,201
203,101.9843,202
204,101.3274,203
205,102.1802,204
206,101.9446,205
207,100.8604,206
208,103.6615,207
209,106.6343,208
210,105.3087,209
211,104.736,210
212,104.6485,211
213,105.0126,212
214,105.5373,213
215,103.7306,214
216,105.8696,215
217,105.2395,216
218,104.9398,217
219,104.291,218
220,103.4424,219
221,103.6118,220
222,103.0006,221
223,101.4866,222
224,100.6698,223
225,100.7285,224
226,101.549,225
227,98.1342,226
228,97.289,227
229,98.3241,228
230,97.6421,229
231,97.2344,230
232,96.8212,231
233,95.9242,232
234,97.2682,233
235,93.875,234
236,94.4162,235
237,94.9853,236
238,93.3667,237
239,94.834,238
240,96.75,239
241,95.2656,240
242,95.7066,241
243,94.5182,242
244,95.5311,243
245,96.2021,244
246,96.7434,245
247,98.8729,246
248,98.7171,247
249,97.6451,248
