SampleID,ProcessValue
1,100.4133
2,98.8022
3,114.4958
4,100.5369
5,99.1308
6,101.6335
7,100.1718
8,101.4252
9,100.602
10,103.2738
11,98.4526
12,99.2061
13,104.4475
14,99.8551
15,98.3083
16,100.8464
17,101.6366
18,99.8339
19,97.2035
20,98.6476
21,97.6573
22,103.0026
23,97.5506
24,99.1408
25,100.7993
26,98.1193
27,100.6024
28,98.9716
29,100.4857
30,99.5628
31,99.7649
32,101.5936
33,98.2666
34,100.4788
35,101.2109
36,98.1314
37,97.6662
38,99.5914
39,96.8573
40,100.3813
41,100.9734
42,97.912
43,101.2706
44,101.8338
45,100.544
46,101.9481
47,99.5097
48,99.1736
49,99.8036
50,98.4476
51,99.1169
52,100.0139
53,100.209
54,100.6788
55,96.8486
56,104.4066
57,98.5923
58,100.9664
59,100.4149
60,99.0239
61,100.8208
62,98.6243
63,99.9537
64,103.0051
65,99.3266
66,100.1012
67,98.385
68,101.0026
69,98.8426
70,100.4449
71,101.5077
72,99.6214
73,100.8466
74,100.5333
75,101.5704
76,100.8549
77,101.9346
78,99.6079
79,98.083
80,97.5344
81,97.6709
82,99.5447
83,100.2545
84,98.9498
85,96.6264
86,98.9755
87,99.3186
88,99.9701
89,102.1681
90,97.2639
91,101.02
92,100.8632
93,99.621
94,100.5881
95,99.7167
96,100.8296
97,98.6941
98,98.5236
99,97.1318
100,100.5953
101,99.095
102,97.6198
103,98.5462
104,100.8266
105,100.2407
106,98.5942
107,102.0961
108,99.8873
109,103.7757
110,100.2088
111,99.5741
112,100.6018
113,101.7241
114,99.5486
115,101.1207
116,98.9488
117,102.7294
118,98.7577
119,103.334
120,98.1433
121,99.4688
122,100.6803
123,109.7967
124,102.4351
125,102.1892
126,97.472
127,100.6218
128,98.8415
129,101.4646
130,101.6561
131,100.454
132,99.1988
133,98.3488
134,98.9331
135,98.8614
136,100.0502
137,101.5466
138,100.1628
139,98.2411
140,98.1498
141,101.0425
142,102.9198
143,100.1447
144,98.9787
145,98.514
146,100.9441
147,102.3752
148,99.5398
149,99.1991
150,97.8893
151,100.1095
152,101.1701
153,98.8762
154,100.338
155,100.7556
156,100.8736
157,91.4352
158,98.6654
159,100.1308
160,101.0621
161,103.2336
162,98.3028
163,100.377
164,99.9977
165,99.3421
166,101.7495
167,100.8527
168,100.8994
169,98.2181
170,99.4705
171,100.0758
172,100.2557
173,103.6973
174,99.5498
175,96.2114
176,100.0959
177,100.7616
178,100.081
179,95.6676
180,100.4399
181,100.8102
182,98.0763
183,98.967
184,99.906
185,99.1545
186,99.3836
187,100.4537
188,99.0581
189,97.6986
190,101.3687
191,98.434
192,99.6866
193,99.2393
194,98.2434
195,101.318
196,106.0976
197,99.4127
198,99.9772
199,100.1633
200,98.3221
201,92.0472
202,99.9536
203,98.2104
204,99.9399
205,96.546
206,99.3326
207,100.4273
208,100.3106
209,101.7135
210,98.3188
211,99.8675
212,101.382
213,100.4148
214,101.1992
215,98.2131
216,100.094
217,99.6565
218,100.1351
219,98.7963
220,101.9482
221,101.0204
222,101.7367
223,100.4238
224,98.9382
225,100.9107
226,101.9667
227,100.4218
228,98.6116
229,99.125
230,100.0579
231,102.1834
232,102.6989
233,98.7194
234,100.5388
235,99.1078
236,98.0781
237,100.8692
238,100.2215
239,100.3157
240,99.7532
241,100.4562
242,100.3988
243,101.2563
244,98.7795
245,101.3329
246,101.1017
247,100.4894
248,100.0455
249,99.245
250,99.8712
251,100.0457
252,97.7621
253,103.4506
254,101.6131
255,102.7171
256,100.9353
257,99.0664
258,100.7171
259,106.6276
260,98.6099
261,101.932
262,99.3658
263,101.0798
264,102.1698
265,100.417
266,111.6385
267,97.8252
268,98.3405
269,98.7742
270,96.8588
271,97.4517
272,102.1858
273,101.7498
274,99.1405
275,103.3214
276,99.556
277,102.792
278,102.8299
279,99.0628
280,101.2418
281,101.6739
282,99.0261
283,95.8397
284,101.2014
285,98.7351
286,99.7971
287,100.2848
288,100.8651
289,99.4756
290,100.3925
291,101.798
292,97.094
293,97.8838
294,90.6042
295,95.7778
296,101.1572
297,101.5494
298,99.7076
299,99.7118
300,102.0857
301,100.3085
302,99.4323
303,101.3503
304,101.1672
305,100.593
306,99.1398
307,98.5354
308,98.6613
309,98.7396
310,98.6158
311,99.2109
312,99.979
313,100.1525
314,98.3035
315,100.3706
316,100.131
317,99.8357
318,99.094
319,98.3344
320,100.8506
321,100.12
322,100.5219
323,99.3599
324,99.1872
325,101.5263
326,103.9948
327,99.5567
328,100.2285
329,99.876
330,98.7565
331,99.3274
332,103.015
333,98.9339
334,100.1107
335,99.0291
336,99.9117
337,98.9364
338,99.2343
339,97.8308
340,100.1425
341,99.4593
342,100.7671
343,99.9084
344,98.8962
345,98.5398
346,99.9919
347,101.9642
348,99.1478
349,97.2538
350,100.301
351,101.7822
352,100.8051
353,98.1713
354,100.1766
355,101.2507
356,99.3584
357,99.1802
358,99.2264
359,99.7007
360,98.2552
361,100.2873
362,100.3619
363,100.3976
364,99.9325
365,98.2165
366,97.958
367,102.6894
368,100.3359
369,98.7919
370,100.8947
371,102.7118
372,100.5262
373,99.7519
374,101.959
375,99.2525
376,101.489
377,99.1521
378,99.3839
379,101.1454
380,101.8856
381,99.8455
382,101.8377
383,100.5587
384,98.8149
385,99.3969
386,100.7864
387,102.0638
388,101.5188
389,101.543
390,98.0249
391,101.0854
392,101.0012
393,100.409
394,100.9756
395,97.4427
396,96.5845
397,100.3794
398,99.9048
399,99.6672
400,100.6325
401,100.294
402,100.4755
403,107.1093
404,99.2099
405,100.5093
406,99.0313
407,97.1722
408,99.5556
409,101.5752
410,93.0884
411,100.6425
412,101.3487
413,101.1015
414,94.8053
415,98.8993
416,100.0541
417,100.3977
418,100.9629
419,100.9799
420,104.0313
421,102.2111
422,99.472
423,103.1578
424,98.3304
425,98.4784
426,101.1743
427,99.6151
428,96.3959
429,102.2186
430,100.9167
431,99.8417
432,99.7235
433,99.6697
434,96.8982
435,98.6585
436,98.9959
437,108.6758
438,99.1337
439,100.566
440,99.7293
441,98.6707
442,100.403
443,99.9722
444,101.6142
445,99.4013
446,99.0207
447,101.247
448,99.7278
449,101.3819
450,99.1864
451,100.2173
452,99.0778
453,98.7516
454,96.6863
455,102.2821
456,99.2636
457,100.7679
458,99.7475
459,101.7643
460,86.1281
461,100.3101
462,101.1384
463,100.0875
464,98.8828
465,86.4232
466,99.0316
467,97.0609
468,101.099
469,100.7065
470,101.2684
471,98.5842
472,98.3581
473,100.7921
474,100.733
475,97.271
476,98.9602
477,102.3785
478,101.1694
479,99.6201
480,98.1783
481,98.5534
482,96.5587
483,97.881
484,101.82
485,101.6655
486,98.2249
487,102.8371
488,99.3069
489,100.0082
490,99.2864
491,98.3528
492,97.1055
493,97.2943
494,99.4675
495,99.8598
496,100.3435
497,97.6905
498,97.7706
499,100.275
500,98.2296
