Sample,Measurement,Time
1,50.3974,2024-01-01 00:00:00
2,49.8894,2024-01-01 01:00:00
3,50.5182,2024-01-01 02:00:00
4,51.2184,2024-01-01 03:00:00
5,49.8127,2024-01-01 04:00:00
6,49.8127,2024-01-01 05:00:00
7,51.2634,2024-01-01 06:00:00
8,50.6139,2024-01-01 07:00:00
9,49.6244,2024-01-01 08:00:00
10,50.434,2024-01-01 09:00:00
11,49.6293,2024-01-01 10:00:00
12,49.6274,2024-01-01 11:00:00
13,50.1936,2024-01-01 12:00:00
14,48.4694,2024-01-01 13:00:00
15,48.6201,2024-01-01 14:00:00
16,49.5502,2024-01-01 15:00:00
17,49.1897,2024-01-01 16:00:00
18,50.2514,2024-01-01 17:00:00
19,49.2736,2024-01-01 18:00:00
20,48.8702,2024-01-01 19:00:00
21,51.1725,2024-01-01 20:00:00
22,49.8194,2024-01-01 21:00:00
23,50.054,2024-01-01 22:00:00
24,48.8602,2024-01-01 23:00:00
25,49.5645,2024-01-02 00:00:00
26,50.0887,2024-01-02 01:00:00
27,49.0792,2024-01-02 02:00:00
28,50.3006,2024-01-02 03:00:00
29,49.5195,2024-01-02 04:00:00
30,49.7666,2024-01-02 05:00:00
31,49.5186,2024-01-02 06:00:00
32,51.4818,2024-01-02 07:00:00
33,49.9892,2024-01-02 08:00:00
34,49.1538,2024-01-02 09:00:00
35,50.658,2024-01-02 10:00:00
36,49.0233,2024-01-02 11:00:00
37,50.1671,2024-01-02 12:00:00
38,48.4323,2024-01-02 13:00:00
39,48.9375,2024-01-02 14:00:00
40,50.1575,2024-01-02 15:00:00
41,50.5908,2024-01-02 16:00:00
42,50.1371,2024-01-02 17:00:00
43,49.9075,2024-01-02 18:00:00
44,49.7591,2024-01-02 19:00:00
45,48.8172,2024-01-02 20:00:00
46,49.4241,2024-01-02 21:00:00
47,49.6315,2024-01-02 22:00:00
48,50.8457,2024-01-02 23:00:00
49,50.2749,2024-01-03 00:00:00
50,48.5896,2024-01-03 01:00:00
51,50.2593,2024-01-03 02:00:00
52,49.6919,2024-01-03 03:00:00
53,49.4585,2024-01-03 04:00:00
54,50.4893,2024-01-03 05:00:00
55,50.8248,2024-01-03 06:00:00
56,50.745,2024-01-03 07:00:00
57,49.3286,2024-01-03 08:00:00
58,49.7526,2024-01-03 09:00:00
